ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
									23326	55175	3208	2623									195814																																										2177	57502	3714	3430														5718																						4129												3434					10874					
									7490	55554	3257	2697									10507																																										2203	4915	3728	10561														5885																						5600												3433					51203					
									51741	10234	3273	2781									130367																																										26272	4953	65987	10964														5889																						399818												3437					23594					
										4066	3269	63940									26751																																										55785	130497	23366	2537														10267																						23269												80173					5019					
										10894	3350	2890									23387																																										85462	5137	57648	64135														6019																						79906												3484					445815					
										4160	3460	2904									283537																																										23767	5295	85379	3434														9045																						4619												56300					152559					
										4223	3479	2993									6617																																										54874	5311	147700	24138														6169																						79784												3659					5214					
										64232	3605	2995									6272																																										2444	5360	3868	8519														6198																						9499												3663					5230					
										4439	3552	3249									58472																																										2524	84898	3872	55081														58528																						24142												10265					8544					
										4600	3575	3263									6776																																										2584	639	3855	3480														22800																						54413												3670					10531					
										27158	3609	3273									55342																																										2634	5553	3856	8821														6383																						7827												23240					59338					
										64106	3624	3437									6840																																										2651	144165	3892	22876														8910																						83714												81930					23532					
										4900	3675	3446									93627																																										9245	29968	3898	51141														150094																						169611												4254					9055					
										60506	3694	3454									10318																																										2706	5673	3914	3665														51375																						26539												55366					5708					
										25903	3760	3605									7158																																										2707	23682	3918	10379														79582																						26184												23005					5713					
										390892	9674	3554									7159																																										51291	23179	3936	9636														6713																						92106												9562					9791					
										29930	9812	3575									57212																																										2769	57484	114783	3717														6717																						5078												84981					169714					
										56100	547	3609									7163																																										51280	864	389641	221037														23321																						51050												4286					51560					
										27295	3805	3625									91107																																										9052	6288	647859	51133														51174																						150967												23417					5885					
										79887	687	3764									9321																																										29841	389432	55227	9665														7295																						5320												4330					5984					
										51177	3872	9674									7105																																										57801	23328	51599	57535														10810																						79990												744					58528					
										5367	3852	9812									7318																																										3176	6422	4067	3800														51186																						170680												79922					26278					
										29944	3912	547									26019																																										9455	8910	114569	55327														65986																						5739												64968					8293					
										22843	11006	687									55031																																										84343	140885	9053	9926																																				5742												4593					221150					
										55607	10960	354									54832																																										3294	6507	153562	26018																																				5803												4603					9962					
										5629	23542	3860									23001																																										3295	29015	91862	51690																																				65263												4861					6515					
										5645	4145	3872																																																			158160	28232	4155	26046																																				5881												9520					6541					
										79810	4238	3852																																																			10553	6591	4233	9935																																				5923												7026					10051					
										5746	23209	11006																																																			3382	6616	10205	10905																																				27288												80023					57405					
										57799	4351	3987																																																			3418	9627	55686	56339																																				51308												79873					6788					
										2889	4361	4033																																																			374918	10580	89797	4256																																				8786												11162					3925					
										5950	4494	4099																																																			3557	83595	23327	9562																																				54941												26747					6804					
										91543	4620	5596																																																			10788	8404	4739	55034																																				54546												26333					10492					
										8578	4636	4145																																																			57535	6891	9603	4338																																				25897												116039					7037					
										6336	10398	4157																																																			8564	83439	55655	8777																																				283345												78990					7083					
										6339	4641	4351																																																			3875	7049	3084	4477																																				864												54852					55076					
										6519	4542	931																																																			3880	26230	256281	4528																																				26278												54039					9319					
										6523	3071	4599																																																			25984	7091	132299	4602																																				7356												8799					85453					
										6524	4734	4601																																																			144501	114801	58495	4603																																				5272												5193					51377					
										6608	4745	4620																																																			8942	8460	9463	4609																																				23169												79605					7422					
